Instance,number of variables,DivSampCA,SamplingCA,,,ICPL,,YASA,
,,avg. size,avg. time(s),avg. size,avg. time(s),avg. size,avg. time(s),avg. size,avg. time(s)
aaed2000,1284,88.6,10.35,142,10.36,94.6,57.83,91.7,11.6
adder,1272,67.9,7.52,108.5,7.97,72.2,66.41,67.8,9.57
adderII,1276,68.2,6.62,107.9,7.9,71.7,57.33,68.3,9.75
aeb,1213,64,7.34,104.2,6.99,68.8,45.48,64.5,8.69
aim711,1264,67.2,7.16,109.5,7.93,72.2,51.96,68.3,9.48
aki3068net,1207,67,7.13,107.8,7.16,71.3,45.18,67.8,8.95
am31_sim,1165,62.9,7.23,100,6.23,67.7,42.7,62.3,8.34
asb,1231,63.3,7.55,103.4,7.1,66.6,50.91,64.3,9.06
asb2305,1242,63.6,7.25,102.5,7.17,66.7,70.26,63.5,9.1
assabet,1266,63.7,7.8,104.2,7.57,69.3,88,63.5,9.09
at91sam7sek,1296,64.5,7.11,104.7,8,68.4,53.48,64,9.43
at91sam7xek,1319,67.3,7.52,109.7,8.71,71.6,95.03,68.5,10.06
atlas_mips32_4kc,1216,68.2,6.11,107.8,7.39,71.1,86,68,9.06
atlas_mips64_5kc,1209,68.8,6.89,108.4,7.35,71.7,54.37,68.1,9.01
brutus,1221,63,5.99,102.2,7.06,65.8,48.12,63.9,8.71
buildroot,565,23,0.25,30.4,0.56,55,8.06,18.9,2.25
busybox_1_28_0,998,38.3,5.08,57.6,2.92,51.2,40.81,37.4,6.69
calm16_ceb,1173,61.9,7.18,101.2,6.59,67.3,44.51,63.5,8.27
calm32_ceb,1173,62.6,6.86,102.1,6.57,66.8,44.17,63.8,8.31
ceb_v850,1189,63.4,4.55,100.9,6.69,67.3,45.17,63,8.39
cerf,1276,67.1,9.35,111.8,8.36,73,53.78,69.3,9.78
cerfpda,1291,69.9,5.88,113.6,8.51,74,56.64,68.6,9.88
cma230,1212,62.9,6.47,101.3,6.81,65.9,45.65,62.7,8.61
cma28x,1204,62.1,6.04,100.4,6.7,66.1,44.08,63.4,8.6
cme555,1266,62.5,6.12,101.1,7.39,67,53.31,63.5,9.47
cq7708,1238,78.6,7.02,121.8,8.53,84,51.38,79.1,9.72
cq7750,1267,64.7,8.96,106.7,7.78,70,51.44,66.6,9.43
csb281,1233,71.1,8.02,111.6,7.86,76.6,51.91,71.9,9.98
dreamcast,1252,72.2,6.52,113.9,8.2,75.3,52.07,72.4,9.55
e7t,1266,68.4,8.39,109.3,8.06,73.5,52.5,69.9,9.81
ea2468,1395,68.2,7.41,109.5,9.55,72.5,62.76,68.2,10.24
eb40,1240,63.7,6.83,101.5,7.26,67.8,48.86,65.1,9.02
eb40a,1241,62.3,7.56,102.3,7.29,66.5,52.2,63.3,8.89
eb42,1234,62.6,6.55,103,7.28,65.7,51.46,63.4,8.85
eb55,1270,63.7,7.18,104.7,7.74,66.8,54.12,63.9,9.22
ebsa285,1245,71.4,7.9,114.8,8.22,75.7,55.21,72.7,9.78
ec555,1267,64.1,7.12,102,7.58,67.2,51.81,63.9,9.44
ecos-icse11,1244,67.7,7.09,108.6,7.63,70.5,49.9,68.4,9.5
edb7xxx,1246,67.5,6.68,108.3,7.73,71.9,51.77,68.2,9.27
edosk2674,1194,66,7.12,107.1,7.07,70.5,45.12,67.4,8.89
excalibur_arm9,1233,80.7,9.45,125.7,8.77,82.5,81.77,80.5,10.08
fads,1187,62.6,6.91,99.1,6.52,66,72.23,63.6,8.51
flexanet,1265,68,9.08,110.7,8.25,73.1,52.86,68.5,9.56
freebsd-icse11,1396,80.1,19.74,120.8,10.63,80.4,78.43,78.2,42.59
frv400,1238,67.7,8.31,107.5,7.68,70.4,49.94,68.7,9.33
gps4020,1213,62.7,6.17,103.2,7.05,66.3,44.21,62.7,8.65
grg,1241,68,6.28,107.2,7.73,70.6,48.68,67.1,9.14
h8300h_sim,1182,61.9,5.81,98.7,6.45,64.9,40.83,62.6,8.45
h8max,1202,67.6,6.32,107.9,7.3,71.6,44.76,67.8,9.03
h8s_sim,1183,62.7,4.79,99.8,6.57,66.2,40.91,62.6,8.33
hs7729pci,1298,86.8,9.36,140.7,10.76,75.9,50.18,73.4,9.42
innovator,1256,86.9,8.88,142.5,10.21,90.6,52.71,89.2,10.9
integrator_arm7,1259,67.3,9.19,107.7,7.89,71.4,50.9,68.3,9.6
integrator_arm9,1267,81.4,9.46,122.4,9,86.3,51.99,84,10.32
