,"λ = 100, η = 50",,"λ = 100, η = 100",,"λ = 100, η = 150",,"λ = 100, η = 200",,"λ = 150, η = 50",,"λ = 150, η = 100",,"λ = 150, η = 150",,"λ = 150, η = 200",,"λ = 200, η = 50",,"λ = 200, η = 100",,"λ = 200, η = 150",,"λ = 200, η = 200",,"λ = 250, η = 50",,"λ = 250, η = 100",,"λ = 250, η = 150",,"λ = 250, η = 200",
Instance,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
aaed2000,86.667,22.407,95.667,3.598,98.667,3.697,96.333,4.323,86,25.615,100,4.003,97.333,4.353,94.333,4.933,87.667,24.86,97.333,4.685,96.667,4.916,96.333,5.301,86.333,22.491,93.333,5.284,92.333,5.243,94.667,5.661
adder,66.333,18.07,72.667,2.525,75,2.332,73.333,2.492,66,23.672,73,2.762,75,2.705,72.667,2.947,67.333,16.609,75.667,3.235,74,3.171,72.667,3.358,66.333,21.262,73.333,3.688,73.333,3.596,72.333,3.735
adderII,66.667,25.314,73,2.373,76.667,2.335,74.333,2.497,64.333,21.114,73.667,2.79,71.667,2.788,74.333,2.934,65,16.463,72.667,3.163,73.667,3.22,70.667,3.384,64.667,20.751,73,3.806,73,3.628,73,3.814
aeb,63,18.609,69,2.415,71.667,2.093,70,2.238,65,32.516,71.333,2.379,72.667,2.541,71.333,2.596,64.333,19.16,71,3.067,69.667,2.925,70,3.098,62.667,13.686,69.333,3.268,70.667,3.346,71.333,3.467
aim711,67.333,19.174,75,2.386,75.667,2.313,74.333,2.589,66.333,17.45,74,2.655,74,2.725,74,3.085,66.667,18.47,73,3.257,73,3.24,73,3.396,65.333,26.355,72.667,3.782,72.667,3.611,74,3.856
aki3068net,65,20.767,73,2.381,73.333,2.24,73,2.329,65.333,13.952,74,2.655,74.667,2.558,73.333,2.823,65.333,22.135,73,3.114,71.667,2.984,72.667,3.122,64.667,21.601,72,3.549,72.333,3.399,72,3.546
am31_sim,61,15.846,68.667,1.849,70,1.886,67.333,2.001,60.333,11.992,66.667,2.298,69,2.271,67,2.299,60.667,14.469,70,2.849,67.667,2.565,69.333,2.802,59.667,13.674,68,3.03,67.667,2.958,67.667,3.072
asb,62,12.679,66.667,2.207,69,2.091,69.667,2.306,62.333,21.057,68.667,2.787,70.333,2.484,66.667,2.693,60,11.419,68,3.078,71,2.998,69.333,3.084,64.667,20.186,69,3.752,70,3.387,69.333,3.546
asb2305,62.667,22.569,70,2.106,70.333,2.238,68.333,2.311,59.667,20.995,69.667,2.602,71,2.523,68.333,2.711,62,19.109,69.333,3.222,70,2.972,67.333,3.106,63.333,24.988,69,3.775,69.667,3.42,69.667,3.603
