Instance,DivSampCA,YASA(m=5),YASA(m=10),ICPL,SamplingCA,Chvatal
aaed2000,14539,15187,22678,228440,147201,255845
adder,12774,14140,18161,200448,148484,230274
adderII,13611,13038,17790,194888,149826,231917
aeb,12730,13624,20865,178061,129687,262806
aim711,13063,14024,23828,196048,138806,241053
aki3068net,13553,12730,18697,186218,134527,232116
am31_sim,11723,13559,18643,159899,126919,226958
asb,12892,11305,17665,172842,135925,255269
asb2305,12956,12303,19420,183315,135967,282383
assabet,13051,13588,20214,177951,134362,301037
at91sam7sek,14770,12201,19394,177479,136682,323884
at91sam7xek,15835,12814,19155,192021,142221,292943
atlas_mips32_4kc,14490,12782,19473,177470,135622,225236
atlas_mips64_5kc,14470,12821,18740,185442,134948,229064
brutus,11883,14028,20289,190852,129616,273008
buildroot,9453,12151,15644,41439,9957,25103
busybox_1_28_0,5156,9843,19617,59676,7028,50583
calm16_ceb,11971,16142,18352,174557,127959,241449
calm32_ceb,13865,12807,19630,167862,127861,235002
ceb_v850,11817,12741,17313,175948,127126,234615
cerf,13207,13696,18319,186041,139547,267835
cerfpda,13975,13526,19313,200085,142400,274907
cma230,12071,12542,14659,167329,128953,257853
cma28x,11976,12839,18369,170209,135997,242177
cme555,12592,12715,20817,184453,145957,254928
cq7708,12515,13745,20967,206800,132994,268426
cq7750,13221,13544,21865,188664,135253,303301
csb281,13952,13878,18208,191454,143775,199715
dreamcast,13030,13502,20471,185091,136365,258279
e7t,14638,14211,19782,194733,139442,244214
ea2468,13251,15869,22150,205613,145810,484116
eb40,12703,12246,19475,180063,132290,266630
eb40a,12671,14021,18475,201458,132239,267635
eb42,12983,13692,18935,176501,131453,261816
eb55,12799,12468,18312,183210,135534,286889
ebsa285,13512,12688,20291,198270,140062,202275
ec555,13143,13188,22102,184305,146111,257643
ecos-icse11,13740,14622,20476,181683,135841,198654
edb7xxx,13187,14137,16195,186658,135901,257271
edosk2674,12807,12366,18228,185939,132668,238096
excalibur_arm9,13206,14896,21899,197094,133911,269943
fads,11873,12725,18627,169377,133579,235524
flexanet,13801,12985,19863,198968,140234,247081
freebsd-icse11,23195,86285,148483,124257,121737,168358
frv400,13235,14550,19236,179751,136677,222244
gps4020,12717,12332,17557,175629,129686,262269
grg,13051,12598,18827,184871,132867,244055
h8300h_sim,11467,12771,20294,161565,127673,245420
h8max,12064,12603,19405,180571,133507,230758
h8s_sim,12734,12808,16979,179193,128160,256430
hs7729pci,14699,13782,20009,196265,148690,460155
innovator,15250,16357,21453,216545,142664,241372
integrator_arm7,13400,13396,18310,200405,139251,245331
integrator_arm9,15126,15605,19226,207499,141162,254125
ipaq,12200,14333,15252,167838,133869,302266
iq80310,12715,15283,18651,186478,135334,236057
iq80321,12750,13198,21174,183820,135068,239907
ixdp425,13536,12756,19710,187571,133863,237843
jmr3904,12904,12995,20928,173137,130532,243884
jtst,12932,12676,20412,176528,132157,266059
linux,13718,12733,18022,186835,134576,268970
lpcmt,12270,13076,18562,184584,133459,270529
m5272c3,13997,12280,16860,164358,150281,648445
mac7100evb,14646,12743,19184,169775,130274,261508
mace1,12323,12689,18814,171023,130176,263254
malta_mips32_4kc,13140,13530,19591,191160,140213,236859
malta_mips64_5kc,13358,11884,20419,193583,139932,233284
mb93091,13602,13541,19451,190091,137704,231036
mb93093,13086,13526,18319,194382,135485,225471
mbx,13941,13380,19634,195331,153016,237638
mcb2100,12253,12140,18999,185349,133459,267292
moab,14305,13569,21799,215185,180374,232935
mpc50,12157,13762,18270,170083,127436,276450
nano,13991,13240,23686,205472,142987,217889
npwr,12525,13084,19951,191367,135078,239287
ocelot,14310,13655,21831,201905,142595,256498
olpce2294,13432,13169,20256,188014,143304,242630
olpch2294,14004,13122,21770,179205,134807,275571
olpcl2294,13880,13709,18030,192008,140401,246922
p2106,12608,12781,20322,177692,133359,267249
pati,13459,14010,19613,180184,142094,247504
pc_i82544,13114,14944,19510,193228,138713,231696
pc_i82559,12794,13819,23679,200588,139113,228230
pc_rltk8139,13632,14437,19251,199599,141356,192841
pc_usb_d12,13434,13648,19407,179256,136332,260861
pc_vmWare,13503,13293,18475,204141,136920,223310
phycore,12454,13877,18241,190197,137090,276061
phycore229x,13367,14171,19109,196961,148012,382164
picasso,13717,13992,17295,180917,132671,261350
pid,12306,11957,20581,183285,131099,274826
prpmc1100,12601,11313,18729,172717,128689,267379
psim,12535,12700,18205,170807,130499,232762
rattler,14538,14232,21549,217466,153678,204850
ref4955,12847,12686,19840,180882,132339,252446
refidt334,15517,12781,21251,194150,147029,197072
sa1100mm,13157,12493,17942,172310,129855,257404
sam7ex256,13385,15011,17668,211284,142679,335466
se7751,13669,13990,20414,197195,145070,278952
sh4_202_md,14170,13056,18505,195609,140664,247796
sh7708,13792,14463,19692,186974,134751,273555
skmb91302,13168,14268,18702,174443,131842,242085
sleb,12107,13502,19612,178703,127271,235016
smdk2410,15331,14638,22418,206459,139584,275654
snds,12955,13685,18204,185175,130939,248264
sparclite_sim,12592,12010,19341,166160,124923,232545
sparc_erc32,11965,12916,17302,165766,124621,229950
sparc_leon,12382,13074,20403,158788,124521,224821
stb,12911,14321,22586,201032,139182,255869
stdeval1,12088,13269,17360,172114,130277,230909
stm3210e_eval,12173,15116,20014,175064,135786,253535
toybox,1901,2544,3597,6702,3053,338225
ts1000,13500,12518,20942,194579,153289,229514
ts6,13122,13381,17825,203226,137927,211614
tx39_sim,12140,11948,19932,161857,127412,241976
uE250,14164,13003,19306,183171,132993,258198
vads,12848,13213,19986,179547,137427,219978
viper,13833,13616,22965,201291,154195,238783
vrc4373,13015,13233,22516,175906,136673,263479
vrc4375,13375,14232,19996,219859,141691,241716
XSEngine,12793,13905,21798,175922,135542,244888
