Instance,SampLNS,DivSampCA
aaed2000,52,87
adder,37,64.8
adderII,38,65
aeb,38,61.8
aim711,38,65.4
aki3068net,38,64.2
am31_sim,35,61
asb,35,61
asb2305,36,61
assabet,38,61
at91sam7sek,36,61.8
at91sam7xek,39,65.4
atlas_mips32_4kc,37,64.8
atlas_mips64_5kc,37,65.6
brutus,36,61
buildroot,14,19.6
busybox_1_28_0,25,35.8
calm16_ceb,36,60
calm32_ceb,35,60
ceb_v850,35,59.8
cerf,39,65.6
cerfpda,39,65.4
cma230,37,59.6
cma28x,36,59.8
cme555,37,61.6
cq7708,46,75.8
cq7750,38,63.8
csb281,40,68
dreamcast,41,69.2
e7t,39,65.8
ea2468,37,65.2
eb40,36,61.4
eb40a,37,61.6
eb42,36,60.2
eb55,37,61.4
ebsa285,41,67.4
ec555,36,61.2
ecos-icse11,45,65.2
edb7xxx,38,66
edosk2674,40,64.8
excalibur_arm9,47,77.6
fads,35,58.8
flexanet,38,66.4
freebsd-icse11,53,73
frv400,38,64.8
gps4020,35,61.4
grg,38,64.8
h8300h_sim,35,60.4
h8max,39,64.4
h8s_sim,43,60
hs7729pci,43,85.2
innovator,53,84
integrator_arm7,38,65.2
integrator_arm9,50,77.8
ipaq,36,61
iq80310,38,65.4
iq80321,38,64.8
ixdp425,37,64.8
jmr3904,37,61
jtst,37,61.4
linux,41,70.2
lpcmt,37,62
m5272c3,35,68
mac7100evb,36,60.8
mace1,35,60
malta_mips32_4kc,38,65.2
malta_mips64_5kc,39,65.2
mb93091,38,64
mb93093,38,65.4
mbx,39,64.2
mcb2100,37,61
moab,40,68.2
mpc50,36,60.2
nano,41,70
npwr,38,64.2
ocelot,38,62.8
olpce2294,38,65.4
olpch2294,35,60.8
olpcl2294,38,66.4
p2106,36,61.2
pati,36,61.4
pc_i82544,38,65.8
pc_i82559,39,66.2
pc_rltk8139,41,67.6
pc_usb_d12,37,61.4
pc_vmWare,39,66
phycore,37,61.8
phycore229x,38,64.6
picasso,37,63.4
pid,36,61
prpmc1100,36,60.2
psim,36,60.6
rattler,41,69.6
ref4955,36,59.8
refidt334,41,68.8
sa1100mm,36,60.6
sam7ex256,39,66.2
se7751,42,70.4
sh4_202_md,42,71.4
sh7708,47,76
skmb91302,37,61.2
sleb,36,60
smdk2410,49,78
snds,38,63.6
sparc_erc32,36,60.2
sparc_leon,37,59.4
sparclite_sim,35,59.6
stb,36,61.2
stdeval1,37,62
stm3210e_eval,36,61.4
toybox,10,13.6
ts1000,38,65.6
ts6,38,65
tx39_sim,35,59
uE250,38,64.6
vads,38,64.4
viper,38,65
vrc4373,37,60.6
vrc4375,38,65.4
XSEngine,38,64.4
