120 instances t=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DivSampCA,,,,,,,Ls-Sampling-Plus,,,,,,,Baital,,,,,,,PLEDGE,,,,,,,,,
,30,40,50,60,70,80,90,30,40,50,60,70,80,90,30,40,50,60,70,80,90,30,40,50,60,70,80,90,,,
aaed2000,3055529,3067316,3072440,3074895,3076109,3076725,3077084,3054432,3066630,3071621,3074186,3075710,3076497,3076944,3010357,3044385,3057018,3062019,3065022,3069136,3070037,2949982,2998805,3023184,3042730,3053560,3056513,3058601,,,
adder,3026469,3034416,3037726,3039125,3039695,3039927,3040016,3027089,3034737,3037658,3038996,3039649,3039894,3040001,2978411,3010229,3017184,3021216,3027232,3031555,3033474,2936300,2983023,3003609,3011393,3016465,3020961,3023829,,,
adderII,3044634,3053769,3057375,3058711,3059246,3059491,3059581,3043636,3053295,3056875,3058494,3059129,3059432,3059550,3002649,3021993,3041149,3046413,3049004,3052070,3052816,2966035,2993007,3009411,3020076,3027735,3031278,3033386,,,
aeb,2710122,2717506,2720405,2721683,2722249,2722453,2722531,2708276,2717272,2720375,2721742,2722244,2722449,2722533,2650161,2679834,2698743,2708449,2712286,2713898,2716061,2642215,2677625,2693115,2701761,2706673,2708853,2711114,,,
aim711,2973288,2981733,2985063,2986439,2987015,2987224,2987298,2971813,2980796,2984456,2986054,2986813,2987110,2987249,2916358,2939412,2957304,2966941,2969472,2971962,2977528,2771830,2889284,2937034,2951948,2961163,2967698,2970707,,,
aki3068net,2712346,2720262,2723275,2724505,2725049,2725274,2725348,2710741,2719834,2722969,2724394,2724961,2725224,2725342,2577767,2699709,2708178,2713292,2718207,2720655,2721778,2619294,2662427,2688838,2699235,2702906,2705647,2708384,,,
am31_sim,2509249,2515373,2517517,2518320,2518648,2518774,2518804,2509850,2515356,2517527,2518295,2518621,2518749,2518795,2473986,2495318,2505367,2510855,2513069,2514501,2515153,2452146,2476126,2487366,2493812,2497937,2499961,2500896,,,
asb,2801005,2807799,2810581,2811688,2812134,2812303,2812368,2799873,2807670,2810460,2811629,2812097,2812281,2812352,2760398,2790635,2796042,2801349,2804488,2806028,2807060,2743473,2769500,2784374,2790483,2794773,2796965,2798148,,,
asb2305,2832328,2839297,2841882,2843047,2843421,2843574,2843628,2831720,2839202,2841720,2842862,2843317,2843531,2843609,2794901,2816028,2823836,2833723,2836610,2838035,2838948,2729912,2786324,2811731,2821896,2828292,2832376,2834343,,,
assabet,2926978,2934392,2937159,2938342,2938815,2939008,2939070,2927278,2934330,2937059,2938234,2938749,2938960,2939048,2869612,2889279,2911916,2918504,2922665,2928021,2933009,2856281,2887988,2905219,2913821,2918321,2921577,2923603,,,
at91sam7sek,3058616,3066742,3069693,3070989,3071540,3071780,3071848,3057685,3066043,3069443,3070856,3071489,3071742,3071831,3016839,3034802,3047051,3055184,3058380,3063012,3064835,2994567,3025921,3039280,3047387,3051477,3055287,3057570,,,
at91sam7xek,3203109,3211790,3215301,3216661,3217287,3217553,3217647,3200921,3210812,3214698,3216394,3217118,3217427,3217578,3161759,3187708,3200604,3207431,3210256,3210855,3212353,3116512,3154304,3173936,3185814,3191634,3195627,3197348,,,
atlas_mips32_4kc,2752159,2759895,2762881,2764048,2764518,2764713,2764786,2750135,2759162,2762419,2763713,2764341,2764619,2764741,2706561,2734798,2742341,2749469,2752731,2758097,2758973,2680581,2718419,2735033,2742508,2747067,2750293,2753271,,,
atlas_mips64_5kc,2717935,2726594,2729760,2731058,2731615,2731872,2731976,2717969,2725977,2729476,2730869,2731539,2731821,2731952,2658777,2680952,2702311,2707120,2709671,2711882,2720123,2653476,2681994,2695771,2704624,2711356,2714931,2717076,,,
