 ,λ = 100 η = 100,, λ = 100 η = 150,, λ = 100 η = 200,, λ = 100 η = 250,, λ = 150 η = 100,, λ = 150 η = 150,, λ = 150 η = 200,, λ = 150 η = 250,, λ = 200 η = 100,, λ = 200 η = 150,, λ = 200 η = 200,, λ = 200 η = 250,, λ = 250 η = 100,, λ = 250 η = 150,, λ = 250 η = 200,, λ = 250 η = 250,
Instances,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
aaed2000,85,13.32,85.8,5.05,87.8,2.17,91.8,1.58,85.6,14.52,87,5.22,88.2,2.63,89.8,2.06,86.2,15.15,86,6.74,88.6,3.4,92.2,2.66,86.8,15.85,85.4,6.24,89.4,3.43,90.4,3.15
adder,65.8,12.26,66.8,3.49,66.8,1.38,70,1.12,65.2,11.56,64.8,4.12,66.6,1.89,69,1.35,65,13.72,65.2,5.05,66.2,2.71,69,1.97,64.8,15.26,64.2,4.68,66.8,2.63,70.6,2.13
adderII,64.2,13.55,65.2,4,66.8,1.62,70.6,1.15,65.2,12.39,65,3.45,67,1.84,71.2,1.55,66,12.07,65,4.16,67.8,2.8,70.4,2.17,65.4,12.01,65.2,5.37,67.8,2.95,69,2.46
aeb,62.4,13.4,61.8,5.06,63.8,1.41,67.4,1.05,62.6,11.7,61.8,4.19,64.4,1.52,66.4,1.28,62.4,12.85,61.4,5.12,64.8,2.38,66.8,2.15,62.4,11.07,62,5,64.4,2.43,65.6,2.26
aim711,65,10.69,64.8,4.89,66.4,1.98,70.2,0.79,65,13.57,65.4,4.86,68.8,1.91,69.6,1.68,65.4,13.13,67.2,4.84,66.8,3.24,70,2.1,66.2,13.64,66.2,4.94,67.4,3.04,70.8,2.2
aki3068net,64.8,10.9,64.4,4.07,67.4,1.59,69.6,1.09,63.8,9.61,64.2,3.17,65.6,2.36,69.2,1.11,65.2,10.43,65.2,4.83,66.2,2.31,70,2.03,65.4,11.19,65.2,3.42,65.8,2.92,68,1.99
am31_sim,60,7.67,59.8,3.54,62.8,1.08,65,0.98,60.6,8.71,61,3.09,61.8,1.59,64.2,1.31,60.4,8.91,59.6,4.16,63,2.24,63.2,1.85,59,12.62,60,4.12,62.4,2.47,64,2.03
asb,61,11.6,60.4,3.55,64,1.34,65.8,1.16,62,12.66,61,4.41,62.2,2.08,65.4,1.56,61.4,11.39,61.2,4.01,63.2,2.81,65.4,1.83,60.6,11.18,62.2,4.62,62.2,2.73,64.4,2.19
asb2305,61.2,13.42,60.8,3.6,63,1.62,66.4,1.13,61,11.93,61,3.53,63.2,1.7,65.2,1.52,60.8,12.35,60.2,4.55,63,2.39,65,2.14,61,11.99,61.4,5.01,63.8,2.53,65.6,2.39
assabet,62.4,13.53,61.2,3.8,64.2,1.58,68,1.18,62.2,10.97,61,4.71,62.6,1.83,66.8,1.54,61.8,10.85,61.8,5.85,64.4,2.18,65,1.95,62,11.54,61.6,4.35,64.8,2.59,66,2.12
at91sam7sek,61.4,11.48,62.8,5.37,63,1.4,67.4,1.12,61.6,13.03,61.8,4.17,63.4,2.11,66.6,1.67,62.4,13.41,62.6,4.39,65,2.48,65.8,2.23,62.4,14.51,62.2,6.05,63,2.97,66.6,2.45
